"code" "name" "class"
"sh600000" "浦发银行" "金融"
"sh600015" "华夏银行" "金融"
"sh600016" "民生银行" "金融"
"sh600030" "中信证券" "金融"
"sh600036" "招商银行" "金融"
"sh600109" "国金证券" "金融"
"sh600369" "西南证券" "金融"
"sh600643" "爱建股份" "金融"
"sh600705" "中航资本" "金融"
"sh600816" "安信信托" "金融"
"sh600830" "香溢融通" "金融"
"sh600837" "海通证券" "金融"
"sh600999" "招商证券" "金融"
"sh601009" "南京银行" "金融"
"sh601099" "太平洋" "金融"
"sh601166" "兴业银行" "金融"
"sh601169" "北京银行" "金融"
"sh601288" "农业银行" "金融"
"sh601318" "中国平安" "金融"
"sh601328" "交通银行" "金融"
"sh601336" "新华保险" "金融"
"sh601377" "兴业证券" "金融"
"sh601398" "工商银行" "金融"
"sh601555" "东吴证券" "金融"
"sh601601" "中国太保" "金融"
"sh601628" "中国人寿" "金融"
"sh601688" "华泰证券" "金融"
"sh601788" "光大证券" "金融"
"sh601818" "光大银行" "金融"
"sh601901" "方正证券" "金融"
"sh601939" "建设银行" "金融"
"sh601988" "中国银行" "金融"
"sh601998" "中信银行" "金融"
"sz000001" "平安银行" "金融"
"sz000415" "渤海租赁" "金融"
"sz000563" "陕国投Ａ" "金融"
"sz000686" "东北证券" "金融"
"sz000728" "国元证券" "金融"
"sz000750" "国海证券" "金融"
"sz000776" "广发证券" "金融"
"sz000783" "长江证券" "金融"
"sz002142" "宁波银行" "金融"
"sz002500" "山西证券" "金融"
"sz002673" "西部证券" "金融"
"sh600038" "中直股份" "军工"
"sh600072" "*ST钢构" "军工"
"sh600118" "中国卫星" "军工"
"sh600148" "长春一东" "军工"
"sh600150" "中国船舶" "军工"
"sh600151" "航天机电" "军工"
"sh600178" "*ST东安" "军工"
"sh600184" "光电股份" "军工"
"sh600262" "北方股份" "军工"
"sh600271" "航天信息" "军工"
"sh600316" "洪都航空" "军工"
"sh600330" "天通股份" "军工"
"sh600343" "航天动力" "军工"
"sh600353" "旭光股份" "军工"
"sh600363" "联创光电" "军工"
"sh600372" "中航电子" "军工"
"sh600391" "成发科技" "军工"
"sh600399" "抚顺特钢" "军工"
"sh600435" "北方导航" "军工"
"sh600456" "宝钛股份" "军工"
"sh600480" "凌云股份" "军工"
"sh600482" "风帆股份" "军工"
"sh600495" "晋西车轴" "军工"
"sh600501" "航天晨光" "军工"
"sh600523" "贵航股份" "军工"
"sh600562" "国睿科技" "军工"
"sh600565" "迪马股份" "军工"
"sh600590" "泰豪科技" "军工"
"sh600592" "龙溪股份" "军工"
"sh600677" "航天通信" "军工"
"sh600685" "广船国际" "军工"
"sh600698" "湖南天雁" "军工"
"sh600765" "中航重机" "军工"
"sh600850" "华东电脑" "军工"
"sh600855" "航天长峰" "军工"
"sh600877" "中国嘉陵" "军工"
"sh600879" "航天电子" "军工"
"sh600893" "中航动力" "军工"
"sh600967" "北方创业" "军工"
"sh600990" "四创电子" "军工"
"sh601718" "际华集团" "军工"
"sh601989" "中国重工" "军工"
"sz000026" "飞亚达Ａ" "军工"
"sz000050" "深天马Ａ" "军工"
"sz000059" "华锦股份" "军工"
"sz000065" "北方国际" "军工"
"sz000099" "中信海直" "军工"
"sz000519" "江南红箭" "军工"
"sz000561" "烽火电子" "军工"
"sz000625" "长安汽车" "军工"
"sz000710" "天兴仪表" "军工"
"sz000733" "振华科技" "军工"
"sz000738" "中航动控" "军工"
"sz000748" "长城信息" "军工"
"sz000768" "中航飞机" "军工"
"sz000777" "中核科技" "军工"
"sz000806" "银河投资" "军工"
"sz000901" "航天科技" "军工"
"sz002013" "中航机电" "军工"
"sz002023" "海特高新" "军工"
"sz002025" "航天电器" "军工"
"sz002036" "汉麻产业" "军工"
"sz002046" "轴研科技" "军工"
"sz002048" "宁波华翔" "军工"
"sz002049" "同方国芯" "军工"
"sz002111" "威海广泰" "军工"
"sz002151" "北斗星通" "军工"
"sz002179" "中航光电" "军工"
"sz002190" "成飞集成" "军工"
"sz002214" "大立科技" "军工"
"sz002231" "奥维通信" "军工"
"sz002253" "川大智胜" "军工"
"sz002265" "西仪股份" "军工"
"sz002268" "卫" "军工"
"sz002297" "博云新材" "军工"
"sz002300" "太阳电缆" "军工"
"sz002303" "美盈森" "军工"
"sz002308" "威创股份" "军工"
"sz002338" "奥普光电" "军工"
"sz002368" "太极股份" "军工"
"sz002405" "四维图新" "军工"
"sz002414" "高德红外" "军工"
"sz002423" "中原特钢" "军工"
"sz002465" "海格通信" "军工"
"sz002544" "杰赛科技" "军工"
"sz002590" "万安科技" "军工"
"sz002669" "康达新材" "军工"
"sz300010" "立思辰" "军工"
"sz300024" "机器人" "军工"
"sz300034" "钢研高纳" "军工"
"sz300045" "华力创通" "军工"
"sz300046" "台基股份" "军工"
"sz300053" "欧比特" "军工"
"sz300065" "海兰信" "军工"
"sz300101" "振芯科技" "军工"
"sz300114" "中航电测" "军工"
"sz300185" "通裕重工" "军工"
"sz300229" "拓尔思" "军工"
"sz300252" "金信诺" "军工"
"sz300324" "旋极信息" "军工"
"sh600048" "保利地产" "地产"
"sh600052" "浙江广厦" "地产"
"sh600053" "中江地产" "地产"
"sh600067" "冠城大通" "地产"
"sh600077" "宋都股份" "地产"
"sh600082" "海泰发展" "地产"
"sh600094" "大名城" "地产"
"sh600113" "浙江东日" "地产"
"sh600133" "东湖高新" "地产"
"sh600158" "中体产业" "地产"
"sh600159" "大龙地产" "地产"
"sh600162" "香江控股" "地产"
"sh600173" "卧龙地产" "地产"
"sh600175" "美都能源" "地产"
"sh600185" "格力地产" "地产"
"sh600208" "新湖中宝" "地产"
"sh600223" "鲁商置业" "地产"
"sh600225" "天津松江" "地产"
"sh600239" "云南城投" "地产"
"sh600240" "华业地产" "地产"
"sh600246" "万通地产" "地产"
"sh600266" "北京城建" "地产"
"sh600275" "武昌鱼" "地产"
"sh600322" "天房发展" "地产"
"sh600325" "华发股份" "地产"
"sh600340" "华夏幸福" "地产"
"sh600376" "首开股份" "地产"
"sh600383" "金地集团" "地产"
